song_title,artist,youtube_url,start_time,amp_model,gain,volume,treble,middle,bass,stomp_fx,mod_fx,delay_fx,reverb_fx,spectral_centroid,spectral_rolloff,spectral_flatness,mfccs,active_rms,crest_factor,rms_frames,stomp_score,mod_score,reverb_score,delay_score,delay_time_ms
A New England,Billy Bragg,https://www.youtube.com/watch?v=sEDlFOd0xsk,30,Twin Clean,3.0,6.5,8.0,1.5,8.0,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}",,,"{""type"": ""Plate"", ""settings"": {""level"": 10.0, ""decay"": 2.0, ""tone"": 9.0}}",1320.381787485084,2529.177014104921,0.00023718353,"[-237.00863647460938, 162.90689086914062, -64.33135223388672, 60.78489685058594]",0.08508564531803131,10.409028205413938,[0.04330543 0.0529646  0.06808539 ... 0.01527935 0.01194988 0.00935758],2.2786325644119643e-05,0.24646921455860138,1.0,0.933684766292572,92.87981859410431
Celebrated Summer,Husker Du,https://www.youtube.com/watch?v=lF40NLLSr0s,0,Twin Clean,4.5,9.0,3.5,8.0,6.0,"{""type"": ""Fuzz"", ""settings"": {""level"": 5.0, ""gain"": 5.0, ""vari"": ""loose""}}","{""type"": ""Chorus"", ""settings"": {""level"": 9.0, ""speed"": 3.5, ""depth"": 2.5}}",,"{""type"": ""Plate"", ""settings"": {""level"": 2.5, ""decay"": 1.5, ""tone"": 7.0}}",2372.5159707025978,4345.920157596983,0.025170585,"[-116.92784118652344, 97.16691589355469, -71.65897369384766, 14.448917388916016]",0.07339857518672943,4.521588641059347,[0.00126863 0.00179954 0.00249263 ... 0.08424013 0.07243177 0.0605829 ],0.005566755775362253,0.08583730459213257,1.0,0.9932966232299805,92.87981859410431
Samba Pa Ti,Santana,https://www.youtube.com/watch?v=timZoOs9ozo,0,Champ,7.5,3.5,7.0,1.0,5.0,"{""type"": ""Overdrive"", ""settings"": {""level"": 3.0, ""gain"": 7.5, ""low"": 3.0, ""mid"": 5.0, ""high"": 5.0}}","{""type"": ""Touch Wah"", ""settings"": {""level"": 5.0, ""thresh"": 5.0, ""mode"": ""LO-DOWN"", ""filter"": ""LPF"", ""peak"": 5.0}}",,"{""type"": ""Spring 65"", ""settings"": {""level"": 5.5, ""decay"": 5.9, ""tone"": 5.5}}",1061.4912725935571,1946.8689141076154,0.00041382547,"[-313.01629638671875, 139.49998474121094, 5.187534809112549, 22.994352340698242]",0.07048895210027695,7.161369757890236,[0.00015483 0.00018837 0.0002169  ... 0.04360181 0.03835268 0.03191003],5.778578997706063e-05,0.22855529189109802,1.0,0.9254525899887085,92.87981859410431
Oh!,Sleater-Kinney,https://www.youtube.com/watch?v=oS4KYnLKRRY,25,Super Clean,6.0,9.5,8.5,7.5,4.5,"{""type"": ""Blues Drive"", ""settings"": {""level"": 9.0, ""gain"": 5.5, ""tone"": 5.0, ""blend"": 5.0}}",,"{""type"": ""Delay"", ""settings"": {""level"": 2.0, ""time"": 400, ""feedback"": 2.0, ""tone"": 5.5}}",,1152.855440676757,2200.933172310035,0.00026255305,"[-180.8526153564453, 197.40518188476562, -67.50369262695312, 47.78390884399414]",0.1253846138715744,5.4431302645745765,[0.0699366  0.08907872 0.10605039 ... 0.11809184 0.10459565 0.08507722],4.823566268896684e-05,0.1642281860113144,0.0,0.98235023021698,92.87981859410431
Freddie's Dead,Curtis Mayfield,https://youtu.be/esIQyaGEUFU?si=8Sp0I-XE-IbhqIeV,30,50s Twin,9.5,7.0,5.0,9.5,5.0,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}","{""type"": ""Touch Wah"", ""settings"": {""level"": 10.0, ""thresh"": 5.5, ""mode"": ""HI-UP"", ""filter"": ""BPF"", ""peak"": 5.5}}",,"{""type"": ""Spring 65"", ""settings"": {""level"": 5.5, ""decay"": 4.5, ""tone"": 10.0}}",1225.414256157076,2233.0208892167384,0.00021355593,"[-266.3573913574219, 174.29750061035156, -65.6568603515625, 39.101566314697266]",0.0622871033847332,8.140353435217312,[0.0019663  0.00241708 0.00279713 ... 0.05794698 0.05138244 0.04458911],2.6234230972477235e-05,0.1953553706407547,1.0,0.9192457795143127,92.87981859410431
Seventh Wave,Devin Townsend,https://www.youtube.com/watch?v=b3-NQvRmo3I,20,90s Rock,3.5,7.0,6.0,3.5,6.5,"{""type"": ""Fuzz"", ""settings"": {""level"": 5.0, ""gain"": 5.0, ""vari"": ""tight""}}","{""type"": ""Flanger"", ""settings"": {""level"": 7.5, ""speed"": 4.5, ""depth"": 6.0, ""feedback"": 8.0}}","{""type"": ""Delay"", ""settings"": {""level"": 7.0, ""time"": 400, ""feedback"": 8.5, ""tone"": 1.0}}","{""type"": ""Large Hall"", ""settings"": {""level"": 9.5, ""decay"": 6.0, ""tone"": 2.0}}",2089.8871324883244,3773.664703723173,0.006073119,"[-139.3731689453125, 124.86858367919922, -78.03314971923828, 61.30142593383789]",0.06202300637960434,4.9301946487526225,[0.03702083 0.04662371 0.05602632 ... 0.07268909 0.06514606 0.05221779],0.001231821021065116,0.04490194469690323,0.0,0.9926325082778931,92.87981859410431
Maggot Brain,Funkadelic,https://www.youtube.com/watch?v=4Inr22ZBmdw,120,50s Twin,3.5,6.0,7.0,4.5,6.0,"{""type"": ""Fuzz"", ""settings"": {""level"": 5.0, ""gain"": 5.0, ""vari"": ""loose""}}","{""type"": ""Touch Wah"", ""settings"": {""level"": 7.5, ""thresh"": 4.0, ""mode"": ""LO-DOWN"", ""filter"": ""LPF"", ""peak"": 7.0}}",,"{""type"": ""Spring 65"", ""settings"": {""level"": 5.5, ""decay"": 6.0, ""tone"": 5.5}}",2164.57562540718,3959.7861871918503,0.0020754598,"[-341.9804382324219, 87.38050079345703, -80.31476593017578, 49.11341857910156]",0.01870574615895748,4.457989755310107,[0.01279377 0.01555961 0.01833439 ... 0.01638533 0.01364994 0.0104999 ],0.0004655594821088016,0.034931376576423645,0.0,0.9868530035018921,92.87981859410431
Panama,Van Halen,https://www.youtube.com/watch?v=YRFKU6QvBJY,0,80s Rock,10.0,5.0,10.0,1.0,6.0,"{""type"": ""Myth Drive"", ""settings"": {""level"": 7.0, ""gain"": 5.0, ""treble"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 6.6, ""speed"": 3.1, ""depth"": 2.7}}","{""type"": ""Echo"", ""settings"": {""level"": 2.9, ""time"": 200, ""feedback"": 3.0, ""wow"": 3.0}}","{""type"": ""Small Room"", ""settings"": {""level"": 5.5, ""decay"": 5.5, ""tone"": 5.5}}",2139.808290063067,3884.205918422965,0.011544606,"[-108.56320190429688, 116.7833480834961, -77.5323486328125, 35.291446685791016]",0.10516858845949173,4.393551672738836,[0.00041779 0.00152971 0.01641093 ... 0.08483922 0.07612799 0.06558885],0.002627624198794365,0.12364505231380463,0.0,0.9858703017234802,92.87981859410431
"The Good, the Bad and the Ugly (Main Theme)",Ennio Morricone,https://www.youtube.com/watch?v=iE5CkYe6ASg,60,50s Twin,7.5,7.0,5.0,7.0,5.0,,"{""type"": ""Tremolo"", ""settings"": {""level"": 6.5, ""speed"": 5.5}}","{""type"": ""Echo"", ""settings"": {""level"": 3.0, ""time"": 316, ""feedback"": 8.5, ""wow"": 8.5}}","{""type"": ""Plate"", ""settings"": {""level"": 9.0, ""decay"": 2.5, ""tone"": 5.0}}",1312.859204184348,2344.744403545673,0.0010372841,"[-163.553466796875, 146.66441345214844, -27.560237884521484, 50.117774963378906]",0.15549077093601227,5.78507682987449,[0.14219393 0.17308931 0.19489434 ... 0.13491245 0.12015955 0.08878558],0.00017930340254679322,0.4127257168292999,1.0,0.966741681098938,92.87981859410431
Give Me the Night,George Benson,https://www.youtube.com/watch?v=FIF7wKJb2iU,0,Super Clean,2.5,4.5,5.5,6.0,5.0,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}","{""type"": ""Chorus"", ""settings"": {""level"": 3.2, ""speed"": 1.2, ""depth"": 2.5}}","{""type"": ""Delay"", ""settings"": {""level"": 2.3, ""time"": 325, ""feedback"": 2.5, ""tone"": 4.0}}","{""type"": ""Spring 65"", ""settings"": {""level"": 2.5, ""decay"": 2.5, ""tone"": 2.5}}",1073.6396445785613,1947.7960545617623,0.00028156882,"[-347.23333740234375, 180.45278930664062, -50.77787780761719, 14.541545867919922]",0.032109007239341736,10.117655064654414,"[1.1675648e-05 1.4372652e-05 1.6588372e-05 ... 5.2953348e-02 4.8633229e-02
 3.3074833e-02]",2.7829451937577687e-05,0.1808701753616333,1.0,0.773475170135498,92.87981859410431
