song_title,artist,youtube_url,start_time,amp_model,gain,volume,treble,middle,bass,stomp_fx,mod_fx,delay_fx,reverb_fx,aug_type,augmented_audio_path,spectral_centroid,spectral_rolloff,spectral_flatness,mfccs,active_rms,crest_factor,rms_frames,stomp_score,mod_score,reverb_score,delay_score,delay_time_ms
Tom Sawyer,Rush,https://www.youtube.com/watch?v=MNrI4MSTXBU,52,50s Twin,10.0,8.0,7.0,9.5,4.5,,"{""type"": ""Flanger"", ""settings"": {""level"": 6.0, ""speed"": 3.0, ""depth"": 7.0, ""feedback"": 8.0}}","{""type"": ""Delay"", ""settings"": {""level"": 3.0, ""time"": 400, ""feedback"": 6.5, ""tone"": 3.5}}","{""type"": ""Small Room"", ""settings"": {""level"": 5.5, ""decay"": 5.5, ""tone"": 5.5}}",none,data/audio_stems_augmented\002_rush_tom_sawyer_orig.wav,1516.8653072246734,2496.269463275812,0.000692907,"[-341.0076904296875, 190.29067993164062, -116.60649871826172, 22.42466926574707]",0.016649793833494186,5.3004581535305215,[0.01156917 0.01321827 0.01493358 ... 0.01530222 0.01281673 0.00981878],0.00013072584988549352,0.022798914462327957,0.0,0.9869644045829773,92.87981859410431
Tom Sawyer,Rush,https://www.youtube.com/watch?v=MNrI4MSTXBU,52,50s Twin,10.0,8.0,7.0,9.5,4.5,,"{""type"": ""Flanger"", ""settings"": {""level"": 6.0, ""speed"": 3.0, ""depth"": 7.0, ""feedback"": 8.0}}","{""type"": ""Delay"", ""settings"": {""level"": 3.0, ""time"": 400, ""feedback"": 6.5, ""tone"": 3.5}}","{""type"": ""Small Room"", ""settings"": {""level"": 5.5, ""decay"": 5.5, ""tone"": 5.5}}",gain_neg,data/audio_stems_augmented\002_rush_tom_sawyer_aug_gain_neg.wav,1517.222639364135,2496.436000036253,0.0007080456,"[-357.90234375, 190.1939239501953, -116.51568603515625, 22.358386993408203]",0.014009073376655579,5.299705831794112,[0.00973399 0.01112178 0.01256526 ... 0.0128751  0.01078374 0.00826158],0.0001336009008809924,0.01918235421180725,0.0,0.9869636297225952,92.87981859410431
Tom Sawyer,Rush,https://www.youtube.com/watch?v=MNrI4MSTXBU,52,50s Twin,10.0,8.0,7.0,9.5,4.5,,"{""type"": ""Flanger"", ""settings"": {""level"": 6.0, ""speed"": 3.0, ""depth"": 7.0, ""feedback"": 8.0}}","{""type"": ""Delay"", ""settings"": {""level"": 3.0, ""time"": 400, ""feedback"": 6.5, ""tone"": 3.5}}","{""type"": ""Small Room"", ""settings"": {""level"": 5.5, ""decay"": 5.5, ""tone"": 5.5}}",gain_pos_tilt_hi,data/audio_stems_augmented\002_rush_tom_sawyer_aug_gain_pos_tilt_hi.wav,1531.8379321838756,2506.66135712732,0.00069136295,"[-325.9447326660156, 187.9390106201172, -118.81144714355469, 20.620849609375]",0.019511515274643898,5.325420739101581,[0.0135744  0.01550191 0.01751971 ... 0.01781574 0.01487892 0.01136355],0.000129823136376217,0.027265943586826324,0.0,0.9868488907814026,92.87981859410431
Tom Sawyer,Rush,https://www.youtube.com/watch?v=MNrI4MSTXBU,52,50s Twin,10.0,8.0,7.0,9.5,4.5,,"{""type"": ""Flanger"", ""settings"": {""level"": 6.0, ""speed"": 3.0, ""depth"": 7.0, ""feedback"": 8.0}}","{""type"": ""Delay"", ""settings"": {""level"": 3.0, ""time"": 400, ""feedback"": 6.5, ""tone"": 3.5}}","{""type"": ""Small Room"", ""settings"": {""level"": 5.5, ""decay"": 5.5, ""tone"": 5.5}}",pitch_pos,data/audio_stems_augmented\002_rush_tom_sawyer_aug_pitch_pos.wav,1616.5722160289713,2652.014641640081,0.00087708386,"[-371.54571533203125, 171.91127014160156, -114.92500305175781, 24.934040069580078]",0.011463209986686707,5.741905991958337,[0.01116851 0.01253069 0.01389988 ... 0.01022275 0.00846443 0.00638119],0.00015275130863301456,0.017442580312490463,0.0,0.9849682450294495,92.87981859410431
Tom Sawyer,Rush,https://www.youtube.com/watch?v=MNrI4MSTXBU,52,50s Twin,10.0,8.0,7.0,9.5,4.5,,"{""type"": ""Flanger"", ""settings"": {""level"": 6.0, ""speed"": 3.0, ""depth"": 7.0, ""feedback"": 8.0}}","{""type"": ""Delay"", ""settings"": {""level"": 3.0, ""time"": 400, ""feedback"": 6.5, ""tone"": 3.5}}","{""type"": ""Small Room"", ""settings"": {""level"": 5.5, ""decay"": 5.5, ""tone"": 5.5}}",pitch_neg_tilt_lo,data/audio_stems_augmented\002_rush_tom_sawyer_aug_pitch_neg_tilt_lo.wav,1414.4007732710272,2333.329896860499,0.0003702564,"[-388.75933837890625, 200.77667236328125, -112.7225112915039, 16.293197631835938]",0.011362256482243538,6.3488450516128925,[0.01132296 0.01306111 0.01459879 ... 0.01051877 0.00864159 0.00656077],5.8318692026659846e-05,0.014810316264629364,0.0,0.9852248430252075,92.87981859410431
Stick It Out,Rush,https://www.youtube.com/watch?v=ZNnWEZeJqoc,0,Burn,8.4,5.7,10.0,1.0,4.5,"{""type"": ""5 Band EQ"", ""settings"": {""low"": 0.0, ""low_mid"": 0.0, ""mid"": 2.0, ""high_mid"": 0.0, ""high"": -7.5}}","{""type"": ""Chorus"", ""settings"": {""level"": 10.0, ""speed"": 1.3, ""depth"": 3.5}}",,,none,data/audio_stems_augmented\003_rush_stick_it_out_orig.wav,1604.6463876392447,3060.771819544657,0.0026166819,"[-118.22209167480469, 146.52801513671875, -66.7554931640625, 55.181434631347656]",0.15221072733402252,5.477102282593998,[0.00027929 0.00034798 0.00040906 ... 0.12532656 0.1138617  0.09928061],0.0004777492431458086,0.20489853620529175,0.0,0.9859703183174133,92.87981859410431
Stick It Out,Rush,https://www.youtube.com/watch?v=ZNnWEZeJqoc,0,Burn,8.4,5.7,10.0,1.0,4.5,"{""type"": ""5 Band EQ"", ""settings"": {""low"": 0.0, ""low_mid"": 0.0, ""mid"": 2.0, ""high_mid"": 0.0, ""high"": -7.5}}","{""type"": ""Chorus"", ""settings"": {""level"": 10.0, ""speed"": 1.3, ""depth"": 3.5}}",,,gain_neg,data/audio_stems_augmented\003_rush_stick_it_out_aug_gain_neg.wav,1604.6618272500766,3060.771819544657,0.002630634,"[-135.19236755371094, 146.5271759033203, -66.75537872314453, 55.181358337402344]",0.12806935608386993,5.477040547492239,[0.00023618 0.00029444 0.00034588 ... 0.10544922 0.09580262 0.08353412],0.00048030196921899915,0.17240050435066223,0.0,0.985970139503479,92.87981859410431
Stick It Out,Rush,https://www.youtube.com/watch?v=ZNnWEZeJqoc,0,Burn,8.4,5.7,10.0,1.0,4.5,"{""type"": ""5 Band EQ"", ""settings"": {""low"": 0.0, ""low_mid"": 0.0, ""mid"": 2.0, ""high_mid"": 0.0, ""high"": -7.5}}","{""type"": ""Chorus"", ""settings"": {""level"": 10.0, ""speed"": 1.3, ""depth"": 3.5}}",,,gain_pos_tilt_hi,data/audio_stems_augmented\003_rush_stick_it_out_aug_gain_pos_tilt_hi.wav,1642.1142106853058,3104.451300610618,0.002717502,"[-103.14871978759766, 144.1611328125, -68.9540786743164, 53.38264083862305]",0.1719866693019867,5.538095461872582,[0.00030481 0.00038092 0.00044892 ... 0.13240606 0.11945029 0.10319535],0.0004906924441456795,0.23298780620098114,0.0,0.9861525297164917,92.87981859410431
Stick It Out,Rush,https://www.youtube.com/watch?v=ZNnWEZeJqoc,0,Burn,8.4,5.7,10.0,1.0,4.5,"{""type"": ""5 Band EQ"", ""settings"": {""low"": 0.0, ""low_mid"": 0.0, ""mid"": 2.0, ""high_mid"": 0.0, ""high"": -7.5}}","{""type"": ""Chorus"", ""settings"": {""level"": 10.0, ""speed"": 1.3, ""depth"": 3.5}}",,,pitch_pos,data/audio_stems_augmented\003_rush_stick_it_out_aug_pitch_pos.wav,1704.4793977637405,3263.488683901257,0.0031379056,"[-153.06639099121094, 132.70896911621094, -62.88915252685547, 54.18446731567383]",0.10731847584247589,5.436432241340045,[0.00029322 0.00034912 0.00039601 ... 0.09184001 0.08121923 0.0723426 ],0.0005771993310190737,0.2062937319278717,0.0,0.979923665523529,92.87981859410431
Stick It Out,Rush,https://www.youtube.com/watch?v=ZNnWEZeJqoc,0,Burn,8.4,5.7,10.0,1.0,4.5,"{""type"": ""5 Band EQ"", ""settings"": {""low"": 0.0, ""low_mid"": 0.0, ""mid"": 2.0, ""high_mid"": 0.0, ""high"": -7.5}}","{""type"": ""Chorus"", ""settings"": {""level"": 10.0, ""speed"": 1.3, ""depth"": 3.5}}",,,pitch_neg_tilt_lo,data/audio_stems_augmented\003_rush_stick_it_out_aug_pitch_neg_tilt_lo.wav,1519.627386614719,2868.07641201332,0.000994469,"[-169.6292724609375, 156.45352172851562, -72.1967544555664, 53.874359130859375]",0.09440450370311737,9.351605393203071,[0.00027981 0.00034529 0.00036919 ... 0.07948131 0.06863608 0.057385  ],0.00010634205682436004,0.19230520725250244,0.0,0.9781598448753357,92.87981859410431
